Gene	ModuleAssignment	ModuleColor	Blocks	kWithin-weighted	kWithin-unweighted	HubGenes
ENSG00000258065	2	blue	1	188.303334646621	1543.66543289701	 
ENSG00000258066	17	grey60	1	64.206590675209	188.453357152874	 
ENSG00000258068	0	grey	2	11.9112133271052	308.270149740208	 
ENSG00000258071	4	yellow	2	287.116087612771	1402.68116213243	 
ENSG00000258072	3	brown	1	115.587755571048	1139.9169002948	 
ENSG00000258073	56	lightpink4	2	26.9612729333496	56.8283363588016	 
ENSG00000258074	0	grey	3	8.05689097791355	289.349706798504	 
ENSG00000258077	47	bisque4	2	10.9772475928479	45.4903298713222	 
ENSG00000258080	31	paleturquoise	1	39.0716819383137	100.439959924369	 
ENSG00000258081	1	turquoise	3	2827.24677106712	5049.27151799523	 
ENSG00000258082	0	grey	3	7.675923317779	241.138898866151	 
ENSG00000258083	6	red	1	399.429304311953	973.98363373368	 
ENSG00000258084	1	turquoise	3	1284.8881489895	3849.82982761843	 
ENSG00000258086	3	brown	1	375.069572275088	1767.11606402649	 
ENSG00000258088	2	blue	1	100.240768475352	1243.71806972659	 
ENSG00000258090	4	yellow	2	852.841150205584	2114.33959065237	hub10
ENSG00000258091	2	blue	2	664.985612306997	2482.03723592353	 
ENSG00000258092	2	blue	1	449.699331167909	2062.64166600266	 
ENSG00000258096	94	yellow3	1	6.92927663869691	19.6046935062912	 
ENSG00000258098	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258099	2	blue	1	251.239601609668	1749.84988619286	 
ENSG00000258100	1	turquoise	3	2842.93197489233	5058.76257321032	 
ENSG00000258101	3	brown	1	941.320904077345	2428.5723470823	 
ENSG00000258102	4	yellow	2	132.785614373484	1126.28490929666	 
ENSG00000258104	30	steelblue	2	37.1270344749758	99.4512456496117	 
ENSG00000258107	2	blue	1	105.95214948966	1257.29500263396	 
ENSG00000258108	94	yellow3	1	24.7629111829219	30.0054015757431	 
ENSG00000258109	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258111	7	black	2	210.056506725472	779.967657823004	 
ENSG00000258112	1	turquoise	3	4443.27098098594	5882.41135168935	 
ENSG00000258114	3	brown	1	1498.32161373907	2886.2464641253	hub10;hub5
ENSG00000258116	42	lightcyan1	1	13.6159570427843	53.4511102826569	 
ENSG00000258117	79	thistle3	2	6.5163025814891	25.8402723986064	 
ENSG00000258118	20	royalblue	2	105.502663462118	198.466043763247	 
ENSG00000258119	43	ivory	1	20.5564771997081	61.6253623928644	 
ENSG00000258121	50	thistle2	2	21.0596835992519	53.054065404143	 
ENSG00000258122	1	turquoise	3	2668.32433830742	4947.32984017856	 
ENSG00000258128	4	yellow	2	46.0299951676236	632.447418288213	 
ENSG00000258130	0	grey	3	12.7325534011265	318.840148493457	 
ENSG00000258131	30	steelblue	2	11.4373955443578	67.3330322827982	 
ENSG00000258134	5	green	2	96.317837959778	719.000667273596	 
ENSG00000258135	30	steelblue	2	35.8921423425936	98.1463095017456	 
ENSG00000258136	8	pink	2	205.131676043555	634.272120393187	 
ENSG00000258137	47	bisque4	2	13.8746650673479	49.3660824569303	 
ENSG00000258140	43	ivory	1	9.76202325757974	47.4471386878667	 
